index,reference_force_n,raw_adc_mean,raw_adc_stddev,raw_adc_min,raw_adc_max,sample_count,duration_s,predicted_force_n,residual_force_n
1,0,3196.275,83.68581744636703,2915,3373,120,12.008625020000181,0,0
2,4.81,6173.941666666667,73.21216836853164,5950,6350,120,12.01284036800007,6.723635011727719,1.9136350117277194
3,101.81,48711.691666666666,90.75413634589266,48503,48961,120,12.005363960000068,102.77478419569304,0.9647841956930421
4,207.21,94907.80833333333,73.23891222491558,94720,95119,120,12.012966107000011,207.08660354838256,-0.12339645161745239
5,514.41,227469.80833333332,142.1125900963349,227121,227745,120,12.005403210000168,506.41443443094715,-7.995565569052815
6,1003.81,443503.4083333333,167.6214234434913,443181,443873,120,12.00340673799974,994.2229231815062,-9.587076818493756
7,1410.81,624314.6638655462,233.6941647621545,623877,624837,119,12.02748611099969,1402.4986048822227,-8.311395117777238
8,1969.81,873551.9333333333,411.45886253130516,872752,874477,120,12.002031581999745,1965.2816893625866,-4.5283106374133695
9,2504.81,1114094.0416666667,1120.970817311445,1112224,1116089,120,12.003594534000513,2508.430914052434,3.620914052434273
10,2754.81,1227207.5583333333,892.126960283058,1225684,1228968,120,12.016895182000553,2763.843653656032,9.03365365603213



constexpr float CalibrationSlopeNPerCount = 0.00225802139f;
constexpr float CalibrationInterceptN = -7.2172573f;
constexpr bool InvertSign = false;
